ShortName,FullName,LicensingAndAccreditation,EducationalServices,ReorganizationStatus,IDEKIS,Number,InstitutionsAddresses,INN,KPP,OGRN,LegalOrganization,Subordination,ChiefName,LegalAddress,global_id,PublicPhone,Email,WebSite,EducationPrograms,OrgType,NumberofStudentsInOO,TheContingentOfPreschoolersStudyingOO,geodata_center,geoarea
ГБОУ ДО ДТДМ «Хорошево»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Хорошево»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13072,,More then 1 level,7734077088,773401001,1037739525273,бюджетное,Городское подчинение ДОНМ,Ледовская Татьяна Леонидовна,"123154, ГОРОД МОСКВА, УЛИЦА МАРШАЛА ТУХАЧЕВСКОГО, 20, 1",658727748,"PublicPhone:(499) 197-51-23

","Email:horoshevo@edu.mos.ru

",dtim.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000E8A665C663BD424015E8457154E44B40,
ГБУ «Лаборатория путешествий»,Государственное бюджетное учреждение города Москвы «Центр дополнительного образования «Лаборатория путешествий»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13258,,More then 1 level,7725663400,770901001,1097746031393,бюджетное,Городское подчинение ДОНМ,Шпаро Матвей Дмитриевич,"109147, ГОРОД МОСКВА, УЛИЦА НИЖЕГОРОДСКАЯ, ДОМ 3",658727903,"PublicPhone:(495) 678-55-62

","Email:labp@edu.mos.ru

",lab-putesh.mskobr.ru,Дополнительное образование | дополнительное образование детей,прочее,,,0101000000E36D080D99D642402C7BDD31ADDE4B40,
ГБПОУ колледж «Царицыно»,"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский колледж управления, гостиничного бизнеса и информационных технологий «Царицыно»","LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003596
AccreditationExpires:29.04.2022

",,действующее,11708,,More then 1 level,7737057354,772401001,1037739222070,бюджетное,Городское подчинение ДОНМ,Седова Наталья Николаевна,"115569, г. Москва, Шипиловский проезд, дом 37, корпус 1",658727904,"PublicPhone:(495) 391-23-33

","Email:tsaritsino@edu.mos.ru

",collegetsaritsyno.mskobr.ru,Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,010100000062F116CEA0DB4240E00A018098CF4B40,
ГБОУДО «ДТДиМ «Преображенский»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Преображенский»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13093,,More then 1 level,7718191202,771801001,1037739236590,бюджетное,Городское подчинение ДОНМ,Коминова Елена Борисовна,"107553, ГОРОД МОСКВА, УЛИЦА ЧЕРКИЗОВСКАЯ Б., 15",658727905,"PublicPhone:(499) 161-15-06

","Email:preobr@edu.mos.ru

",dtdimvouo.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000C2B71450D4DD42400CB09D77BCE64B40,
ГБПОУ ФК № 35,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Финансовый колледж № 35»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004469
AccreditationExpires:25.05.2023

",,действующее,13326,35,More then 1 level,7737014368,772401001,1037739651267,бюджетное,Городское подчинение ДОНМ,Иванова Елена Анатольевна,"115404, г. Москва, ул. Липецкая, д. 2, корп. 13",658727972,"PublicPhone:(495) 327-50-91

","Email:spo-35@edu.mos.ru

",35finance.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,01010000000E879C367BD54240B6C218286FCD4B40,
ГБУ МГДУ,Государственное бюджетное учреждение города Москвы «Московский городской дом учителя»,"LicenseAvailability:нет
LicenseSeries:
LicenseNumber:
LicenseExpires:
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,12443,,More then 1 level,7702061938,772601001,1027700459621,бюджетное,Городское подчинение ДОНМ,Минько Нина Григорьевна,"117525, ГОРОД МОСКВА, УЛИЦА ДНЕПРОПЕТРОВСКАЯ, ДОМ 25, КОРПУС 1",658728021,"PublicPhone:(495) 315-28-59

","Email:mgdu@edu.mos.ru

",mgdu.dogm.mos.ru,,прочее,,,0101000000D8C223CC94D0424077AFB36137DE4B40,
ГБОУ ДО ЦВР «На Сумском»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр внешкольной работы «На Сумском»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13058,,More then 1 level,7726644294,772601001,1097746863004,бюджетное,Городское подчинение ДОНМ,Абрамова Елена Ивановна,"117208, ГОРОД МОСКВА, ПРОЕЗД СУМСКОЙ, 6Б",658728083,"PublicPhone:(495) 312-76-06

","Email:na-sumskom@edu.mos.ru

",na-sumscom.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000B27DA3352FCD42403CC1743A74D04B40,
ГБПОУ Пищевой колледж № 33,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Пищевой колледж № 33»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004884
AccreditationExpires:20.03.2025

",,действующее,13188,33,More then 1 level,7737132026,772401001,1057737000364,бюджетное,Городское подчинение ДОНМ,Молчанов Павел Викторович,"115404, г. Москва, ул. 6-ая Радиальная, дом 10",658728111,"PublicPhone:(495) 327-51-49

","Email:spo-33@edu.mos.ru

",pk33.mskobr.ru,Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,01010000003DE26C9B1CD5424093CF3D61DCCD4B40,
ГБОУДО ЦДТ «Свиблово»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр детского творчества «Свиблово»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13064,,More then 1 level,7716585000,771601001,1077759314500,бюджетное,Городское подчинение ДОНМ,Уварова Светлана Викторовна,"129343, ГОРОД МОСКВА, УЛИЦА АМУНДСЕНА, 14, 1",658728165,"PublicPhone:(499) 760-01-17

","Email:sviblovo@edu.mos.ru

",centrsviblovo.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000EB16A101C4D342401EB1C0BA78ED4B40,
ГБОУДО «ДДТ на Таганке»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дом детского творчества на Таганке»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012103
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13407,,More then 1 level,7709439048,770901001,1037739011860,бюджетное,Городское подчинение ДОНМ,Лазарева Наталья Андреевна,"109544, ГОРОД МОСКВА, УЛИЦА РАБОЧАЯ, ДОМ 30СТР1",658728244,"PublicPhone:(495) 678-00-94

","Email:taganka@edu.mos.ru

",ddt-taganka.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000B856FD78A7D7424048F94B5E06DF4B40,
